subject_id,subject_label,predicate,object_id,object_label,origin
2,Learning_Algorithm,rdfs__subClassOf,439,Setup,domain
184,Evaluation_Metrics,rdfs__subClassOf,439,Setup,domain
368,goal,rdfs__domain,439,Setup,domain
377,environment,rdfs__domain,439,Setup,domain
447,task,rdfs__domain,439,Setup,domain
468,language,rdfs__domain,439,Setup,domain
543,modeling_technique,rdfs__domain,439,Setup,domain
590,Optimization_Algorithm,rdfs__subClassOf,439,Setup,domain
715,Explainability,rdfs__subClassOf,439,Setup,domain
827,library,rdfs__domain,439,Setup,domain
882,Approach,rdfs__subClassOf,439,Setup,domain
935,Hyperparameter_Setting,rdfs__subClassOf,439,Setup,domain
llm_e486f9d8,Model_Selection,rdfs__subClassOf,llm_cca909ae,Setup,llm
llm_4b59c69d,Performance_Metrics,rdfs__subClassOf,llm_d41daa6a,Evaluation_Metrics,llm
llm_c386155e,Neural_Network_Model,rdfs__subClassOf,llm_7d7bcb14,Learning_Algorithm,llm
llm_05bd9c48,Neural_Network_Architecture,rdfs__subClassOf,llm_bf393852,Neural_Network_Model,llm
llm_a28ca8b5,Reinforcement_Learning,rdfs__subClassOf,llm_545e0228,Learning_Algorithm,llm
llm_1e068cb0,Accuracy_Goal,rdfs__domain,llm_e10df630,goal,llm
llm_bd7e58cb,complexity,rdfs__domain,llm_f4ec7c52,environment,llm
llm_d06e0d4c,Image_Classification_Task,rdfs__domain,llm_e6837651,task,llm
llm_7491cc57,Python,rdfs__domain,llm_6bd71620,language,llm
llm_4bf07c6d,Supervised_Learning,rdfs__subClassOf,llm_e2d6f53a,modeling_technique,llm
llm_aaacfa94,Gradient_Descent,rdfs__subClassOf,llm_165107a7,Optimization_Algorithm,llm
llm_687430c5,LIME,rdfs__subClassOf,llm_c56d5548,Explainability,llm
llm_dc55f927,Tensorflow,rdfs__domain,llm_3910ba18,library,llm
llm_2246a2cc,Semi_Supervised_Approach,rdfs__subClassOf,llm_24056bc3,Approach,llm
llm_ad744b76,GRID_Search,rdfs__subClassOf,llm_ff7e496d,Hyperparameter_Setting,llm
9,Sentence_Embeddings,ns0__Is_a,791,Embeddings,domain
74,Graph_Embeddings,ns0__Is_a,791,Embeddings,domain
78,Word2Vec,ns0__Is_implementing,888,Create_Vector_Space,domain
144,Word_Embeddings,ns0__Is_a,791,Embeddings,domain
167,Spectral_Embeddings,ns0__Is_a,791,Embeddings,domain
248,Similarity,ns0__IsAppliedIn,293,Create_Named_Entities,domain
248,Similarity,ns0__Is_part_of,530,Text_Processing,domain
293,Create_Named_Entities,ns0__IsAppliedIn,530,Text_Processing,domain
323,Rotation_based_method,ns0__Is_part_of,791,Embeddings,domain
356,Locally_Linear_Embeddings,ns0__Is_a,791,Embeddings,domain
497,Walked_based_method,ns0__Is_part_of,791,Embeddings,domain
530,Text_Processing,ns0__Is_implementing,293,Create_Named_Entities,domain
559,Translational_method,ns0__Is_part_of,791,Embeddings,domain
725,Graph_recurrent_NN,ns0__Is_part_of,791,Embeddings,domain
791,Embeddings,ns0__Is_part_of,248,Similarity,domain
791,Embeddings,ns0__Is_implementing,293,Create_Named_Entities,domain
851,Graph_autoencoder,ns0__Is_part_of,791,Embeddings,domain
888,Create_Vector_Space,ns0__Requires,144,Word_Embeddings,domain
888,Create_Vector_Space,ns0__Is_part_of,293,Create_Named_Entities,domain
888,Create_Vector_Space,ns0__Requires,74,Graph_Embeddings,domain
888,Create_Vector_Space,ns0__Requires,9,Sentence_Embeddings,domain
975,Graph_convolutional_NN,ns0__Is_part_of,791,Embeddings,domain
llm_bb1962eb,Graph_autoencoder,ns0__Is_implementing,llm_c9fcfec3,Graph_Embeddings,llm
