subject_id,subject_label,predicate,object_id,object_label,origin
llm_e486f9d8,Model_Selection,rdfs__subClassOf,llm_cca909ae,Setup,llm
llm_4b59c69d,Performance_Metrics,rdfs__subClassOf,llm_d41daa6a,Evaluation_Metrics,llm
llm_c386155e,Neural_Network_Model,rdfs__subClassOf,llm_7d7bcb14,Learning_Algorithm,llm
llm_05bd9c48,Neural_Network_Architecture,rdfs__subClassOf,llm_bf393852,Neural_Network_Model,llm
llm_a28ca8b5,Reinforcement_Learning,rdfs__subClassOf,llm_545e0228,Learning_Algorithm,llm
llm_1e068cb0,Accuracy_Goal,rdfs__domain,llm_e10df630,goal,llm
llm_bd7e58cb,complexity,rdfs__domain,llm_f4ec7c52,environment,llm
llm_d06e0d4c,Image_Classification_Task,rdfs__domain,llm_e6837651,task,llm
llm_7491cc57,Python,rdfs__domain,llm_6bd71620,language,llm
llm_4bf07c6d,Supervised_Learning,rdfs__subClassOf,llm_e2d6f53a,modeling_technique,llm
llm_aaacfa94,Gradient_Descent,rdfs__subClassOf,llm_165107a7,Optimization_Algorithm,llm
llm_687430c5,LIME,rdfs__subClassOf,llm_c56d5548,Explainability,llm
llm_dc55f927,Tensorflow,rdfs__domain,llm_3910ba18,library,llm
llm_2246a2cc,Semi_Supervised_Approach,rdfs__subClassOf,llm_24056bc3,Approach,llm
llm_ad744b76,GRID_Search,rdfs__subClassOf,llm_ff7e496d,Hyperparameter_Setting,llm
llm_bb1962eb,Graph_autoencoder,ns0__Is_implementing,llm_c9fcfec3,Graph_Embeddings,llm
llm_b9bd7c61,Word2Vec,ns0__Is_part_of,llm_de80518b,Word_Embeddings,llm
llm_5ad5c3e7,Similarity,ns0__Requires,llm_4308062f,Sentence_Embeddings,llm
llm_59fb46fa,Create_Vector_Space,ns0__Is_a,llm_cf9218ef,Text_Processing,llm
llm_7a223c3e,Word_Embeddings,ns0__Is_implementing,llm_67d23486,Embeddings,llm
llm_0d77a54e,Graph_Embeddings,ns0__IsAppliedIn,llm_7ee6796f,Create_Named_Entities,llm
llm_6b917482,Sentence_Embeddings,ns0__Is_part_of,llm_8c635e1b,Text_Processing,llm
llm_1819772e,Create_Named_Entities,ns0__Requires,llm_1e1c80f1,Word2Vec,llm
llm_936a9c06,Text_Processing,ns0__Is_a,llm_d4491b5e,Create_Vector_Space,llm
llm_ba1515de,Embeddings,ns0__IsAppliedIn,llm_445e70d5,Graph_autoencoder,llm
llm_06d9ba7b,Graph_autoencoder,ns0__Requires,llm_83c4dcf2,Sentence_Embeddings,llm
llm_b4c1d989,Sentence_Embeddings,ns0__Is_implementing,llm_8f14db07,Create_Vector_Space,llm
llm_7591fecb,Word2Vec,ns0__IsAppliedIn,llm_0feb5756,Text_Processing,llm
llm_d88d81bb,Graph_Embeddings,ns0__Is_part_of,llm_8fe86128,Create_Vector_Space,llm
llm_7b97f3ed,Word_Embeddings,ns0__Requires,llm_c0c161f9,Similarity,llm
llm_d146f61c,Data_Science,ns0__Requires,llm_f64e250f,ML_Engineer,llm
llm_f8a15814,Contact_Lense_Personalization,ns0__Requires,llm_a772926e,Data_Scientist,llm
llm_602f1fbf,Data_Analyst,ns0__IsSolvedBy,llm_36a0c09c,Machine_Learning_Models,llm
llm_2b17ffd2,Data_Science,ns0__IsAppliedIn,llm_3b761707,Healthcare,llm
llm_d5c6b22d,Platform_Engineer,ns0__IsSolvedBy,llm_69de13c8,Cloud_Computing,llm
llm_d07be99d,Data_Owner,ns0__Requires,llm_aa79bf65,Data_Security_Solutions,llm
llm_ece2d43a,Healthcare,ns0__IsSolvedBy,llm_8f4a7ed2,Data_Science,llm
llm_93c230dc,Data_Scientist,ns0__IsAppliedIn,llm_ac9dfc78,Contact_Lense_Personalization,llm
llm_702e3c2b,Domain_Expert,ns0__Is_part_of,llm_72453d06,Healthcare,llm
llm_832fb13a,ML_Engineer,ns0__IsSolvedBy,llm_4c88aebb,Deep_Learning_Models,llm
llm_16db2c4d,Data_Analyst,ns0__Requires,llm_6d70a2e8,Statistical_Software,llm
llm_b1fb7006,Data_Consumer,ns0__IsSolvedBy,llm_c827a0d8,Data_Visualization_Tools,llm
llm_c10cdcc5,Domain_Expert,ns0__Requires,llm_80b28d35,Expert_Systems,llm
llm_d0616185,Healthcare,ns0__Is_part_of,llm_2de1f747,Data_Science,llm
llm_60ba578b,Platform_Engineer,ns0__Requires,llm_6173df99,Distributed_Computing_Solutions,llm
