,source,edge,target
0,godfather,is,american
1,paramount pictures,obtained,rights
2,paramount pictures,obtained,rights to novel for price of $ 80000
3,godfather,is,1972 crime film directed
4,godfather,is,1972 american crime film directed
5,paramount pictures,obtained,rights for price of $ 80000
6,paramount pictures,obtained,rights to novel for price
7,godfather,is,1972 crime film
8,paramount pictures,obtained,rights to novel
9,godfather,is,1972 american crime film
10,godfather,is,1972 american crime film
11,godfather,is,1972 crime film directed by francis ford coppola
12,godfather,is,1972 crime film directed by francis ford coppola
13,godfather,is,1972 american crime film directed
14,paramount pictures,obtained,rights for price
15,one,would expect,that
16,zp,choose,new set
17,zp,choose,set of vectors
18,zp,choose,new set of vectors
19,zp,choose,set
20,years,will always remain as,models
21,years,will remain as,models
22,numpy arrays,can,like python lists can sliced
23,numpy arrays,can,can sliced
24,s,let apply business insights for,model
25,facebook,developed,an open
26,s,let apply,business insights
27,s,let apply business insights for,second model
28,s,try,model
29,facebook,developed,an
30,s,giving,parameters
31,s,try model by,itself
32,s,try,first model
33,us,know,cost of item in client s catalogue
34,jeremy,is,principal data scientist
35,us,know,cost of item
36,jeremy,is,data scientist
37,harvard business review,is in,2012
38,s,try,understand
39,india,is with,female indian math student
40,bi,is,box
41,bi,is,box indexed
42,xi yi,is with,width wi
43,2,calculate,error rate e
44,2,calculate,weighted error rate
45,2,calculate,weighted error rate e
46,2,calculate,error rate e of decision tree
47,2,calculate,weighted error rate e of decision tree
48,2,calculate,error rate
49,random forest,is,ensemble model
50,model architectureit,is,time
51,s,itthe,training data
52,medicaltorch,provides,dataloaders with images
53,medicaltorch,provides,dataloaders with images in pytorch
54,medicaltorch,provides,dataloaders
55,medicaltorch,provides,dataloaders with medical images in pytorch
56,medicaltorch,provides,dataloaders with medical images
57,december 10th,count,number
58,invoicedate,contains,additional time data
59,december 10th,count number from,purchase for customer
60,invoicedate,also contains,time data
61,december 10th,count number from,latest purchase for customer
62,december 10th,count backward,number
63,invoicedate,contains,time data
64,december 10th,count backward number from,latest purchase for customer
65,december 10th,count,number of days
66,invoicedate,also contains,additional time data
67,december 10th,count backward,number of days
68,december 10th,count backward number from,purchase for customer
69,token,is masked,predicted
70,token,is,masked
71,bert pretraining,elmo,story ner story detail
72,apache nifi,developed by,nsa
73,hadoop mapreduce,has pioneered,dominant batch processing framework
74,flink,is,written
